"ID Number","Start Day","Start Month","Start Year","End Day","End Month","End Year","Outcome","Settlement","Fatality Level","MaxDur","MinDur","HiAct","HostLev","Recip","SideA","SideB","Version"
1526,29,9,1873,23,4,1874,5,3,0,207,207,17,4,-1,1,1,2.1
1527,22,3,1872,-9,5,1872,6,1,0,71,41,12,3,-1,1,1,2.1
1528,-9,4,1851,3,2,1852,1,2,6,309,278,22,5,-1,1,1,2.1
1529,21,2,1891,22,4,1891,3,1,0,61,61,8,3,0,1,1,2.1
1530,16,10,1888,20,12,1888,7,2,0,66,66,17,4,-1,1,1,2.1
1531,27,2,1882,27,2,1882,6,1,0,1,1,2,2,0,1,1,2.1
1532,-9,11,1869,-9,11,1869,5,3,0,30,1,8,3,0,1,1,2.1
1533,-9,2,1876,25,4,1876,1,2,6,85,34,22,5,-1,1,1,2.1
1534,23,6,1890,25,8,1890,5,1,2,64,64,18,4,-1,1,1,2.1
1535,28,2,1885,15,4,1885,2,2,6,47,47,22,5,-1,1,3,2.1
1540,5,12,1840,1,2,1841,4,1,0,59,59,7,3,-1,1,1,2.1
1541,-9,9,1893,-9,9,1893,5,3,0,30,1,18,4,-1,1,1,2.1
1542,30,6,1886,24,8,1886,7,4,0,56,56,17,4,0,1,1,2.1
1543,-9,2,1880,-9,2,1880,6,1,0,28,1,8,3,0,1,1,2.1
1544,16,5,1876,20,8,1878,5,3,-9,827,827,19,4,-1,1,1,2.1
1545,20,4,1875,12,7,1875,5,1,0,84,84,14,3,0,1,1,2.1
1547,6,5,1873,16,6,1873,5,3,0,42,42,14,3,0,1,1,2.1
1548,21,11,1859,4,1,1860,5,4,0,45,45,14,3,0,1,1,2.1
1549,2,3,1860,20,3,1860,5,3,-9,19,19,18,4,-1,1,1,2.1
1550,-9,10,1855,-9,10,1855,5,3,-9,31,1,19,4,-1,1,1,2.1
1551,-9,11,1850,25,1,1851,4,3,0,86,33,4,2,0,1,1,2.1
1552,23,8,1843,2,2,1848,1,2,6,1625,1625,22,5,-1,1,1,2.1
1553,-9,4,1838,-9,4,1838,5,3,0,30,1,19,4,0,1,1,2.1
1554,-9,12,1836,-9,5,1837,7,1,0,182,122,17,4,-1,1,1,2.1
1555,4,4,1836,-9,7,1836,8,3,0,119,89,16,4,0,1,1,2.1
1556,-9,3,1839,-9,3,1839,7,3,0,31,1,17,4,-1,1,1,2.1
1557,3,1,1898,12,8,1898,1,2,6,222,222,22,5,-1,1,1,2.1
1558,7,12,1896,7,12,1896,5,3,0,1,1,2,2,0,1,1,2.1
1559,7,12,1875,7,12,1875,5,3,0,1,1,2,2,0,1,1,2.1
1563,14,4,1864,5,2,1865,6,1,0,298,298,16,4,-1,1,2,2.1
1564,7,3,1855,9,3,1855,5,3,0,3,3,19,4,-1,1,1,2.1
1565,28,2,1854,8,4,1854,7,1,0,40,40,17,4,-1,1,1,2.1
1566,-9,6,1850,-9,12,1850,5,1,0,214,155,17,4,-1,1,1,2.1
1567,15,3,1818,30,5,1818,1,1,-9,77,77,19,4,-1,1,1,2.1
1569,-9,12,1896,19,5,1897,2,1,6,170,122,22,5,-1,1,1,2.1
1571,-9,3,1882,-9,4,1882,5,1,-9,61,2,18,4,-1,1,1,2.1
1573,7,1,1878,26,2,1878,5,3,0,51,51,20,4,-1,1,1,2.1
1574,-9,2,1877,-9,5,1877,5,3,0,120,63,7,3,0,1,1,2.1
1575,19,11,1868,6,2,1869,5,1,0,80,80,18,4,-1,1,1,2.1
1576,-9,10,1866,-9,10,1866,5,3,0,31,1,7,3,0,1,1,2.1
1579,24,9,1829,25,9,1829,4,1,-9,2,2,18,4,-1,1,1,2.1
1580,16,10,1859,25,3,1860,1,2,6,162,162,22,5,-1,1,1,2.1
1581,2,10,1893,31,1,1894,4,1,0,122,122,19,4,0,1,1,2.1
1586,1,1,1846,1,7,1846,5,3,0,182,182,15,4,-1,1,1,2.1
1587,-9,9,1850,14,10,1850,2,3,0,44,2,19,4,-1,1,1,2.1
1588,-9,1,1855,21,3,1855,6,1,0,80,30,19,4,-1,1,1,2.1
1589,-9,4,1862,-9,5,1862,5,3,0,61,2,13,3,-1,1,1,2.1
1590,-9,8,1863,1,3,1870,2,2,6,2405,2375,22,5,-1,1,2,2.1
1593,-9,5,1858,25,1,1860,1,2,2,635,581,18,4,-1,1,1,2.1
1594,-9,4,1859,-9,6,1859,7,4,0,91,33,17,4,0,1,1,2.1
1595,10,8,1862,10,2,1863,5,3,0,185,185,8,3,0,1,2,2.1
